ID,BusinessName,AddressLine2,AddressLine3,PostCode,Longitude,Latitude
100638,Cardonald Bowling Club,50 Forfar Avenue,Glasgow,G52 3JF,-4.353857,55.843785
121585,Cardonald College,690 Mosspark Drive,Glasgow,G52 3AY,-4.337235,55.840444
49115,Carluccio's,7 West Nile Street,Glasgow,G1 2PR,-4.256056,55.860717
133071,Carmunnock Village And Recreation Club,109 Waterside Road,Glasgow,G76 9DU,-4.23462,55.79159
9,Carmyle Bowling Club,1 River Road,Glasgow,G32 8EG,-4.155698,55.82868
571744,Caroline's Catering,1500 Edinburgh Road,Glasgow,G33 4UF,-4.127546,55.857003
562661,Caseys Cafe,107 Elderpark Street,Glasgow,G51 3NR,-4.321496,55.859365
94451,Castlemilk Bowling Club,73 Dougrie Drive,Glasgow,G45 9AH,-4.236396,55.806136
126476,Castlemilk Community Fire Station,69 Raithburn Avenue,Glasgow,G45 9RY,-4.248212,55.805714
94450,Castlemilk Pensioners Action Centre,59 Dougrie Drive,Glasgow,G45 9AH,-4.236396,55.806136
83576,Castlemilk West Church The Haven,119 Carmunnock Road,Glasgow,G44 5UW,-4.254802,55.818391
589598,Cat House (Not Reg),15 Union Street,Glasgow,G1 3RB,-4.257325,55.859184
49108,Catering Academy,123 Flemington Street,Glasgow,G21 4TD,-4.229082,55.88055
32890,Catering Trailers,161 Duke Street,Glasgow,G31 1JD,-4.230969,55.859377
56052,Cathcart Bowling Club,74 Ashmore Road,Glasgow,G44 3DD,-4.268135,55.815441
128366,CCA (Saramago Cafe),350 Sauchiehall Street,Glasgow,G2 3JD,-4.26621,55.86604
112082,Celtic Football Club,95 Kerrydale Street,Glasgow,G40 3RE,-4.205976,55.849223
128082,Central Cafe,27 Saltmarket,Glasgow,G1 5NA,-4.243968,55.856166
31150,Central Car Auctions Cafe,44 Easterhouse Road,Glasgow,G69 6BH,-4.108097,55.860771
507915,Central Market,51 Bell Street,Glasgow,G1 1NX,-4.244011,55.858034
594127,CH and Co. Catering Ltd.,18 Cadogan Street,Glasgow,G2 6QN,-4.261611,55.860067
107786,Chalmit Lighting,392 Hillington Road,Glasgow,G52 4BL,-4.363762,55.858011
460408,Chaophraya,4 Nelson Mandela Place,Glasgow,G2 1BT,-4.254092,55.862407
73457,Chapter House,26 Bothwell Street,Glasgow,G2 6NU,-4.259723,55.861396
126906,Charcoals,26 Renfield Street,Glasgow,G2 1LU,-4.256155,55.861875
594137,Charcoals,74 Trongate,Glasgow,G1 5EP,-4.245757,55.857275
97830,Charlie Reid Community Cafe,19 Elmbank Street,Glasgow,G2 4BP,-4.264135,55.863885
581087,Charlie Rocks American Diner,337 Byres Road,Glasgow,G12 8UQ,-4.292599,55.876641
29642,Cheeky Charlie's,12 Gorstan Street,Glasgow,G23 5QG,-4.289668,55.899902
123723,Cherry And Heather Fine Food,7 North Gower Street,Glasgow,G51 1PW,-4.297263,55.851129
495612,Chill N Grill,966 Argyle Street,Glasgow,G3 8LU,-4.280265,55.863686
48833,Chilli Express,1196 Maryhill Road,Glasgow,G20 9BA,-4.284475,55.886939
36338,Chilli Grill,515 Sauchiehall Street,Glasgow,G3 7DL,-4.272258,55.866153
511144,Chillies West End,180 Woodlands Road,Glasgow,G3 6LL,-4.275699,55.870331
49095,China Blue,98 Renfield Street,Glasgow,G2 1NH,-4.255481,55.864026
15686,China Buffet King,53 Bath Street,Glasgow,G2 2DJ,-4.259844,55.861438
133344,China Buffet King,24 West Nile Street,Glasgow,G1 2PF,-4.255004,55.861051
128365,China Buffet King,345 Sauchiehall Street,Glasgow,G2 3HW,-4.265169,55.865457
221704,China Chef,529 Carntyne Road,Glasgow,G32 6JL,-4.1914,55.859891
128896,China House Restaurant,1286 Shettleston Road,Glasgow,G32 7YR,-4.164208,55.851367
594158,China Sea Restaurant,12 Renfield Street,Glasgow,G2 5AL,-4.256444,55.860791
22867,China Wok,140 Sauchiehall Street,Glasgow,G2 3DH,-4.258023,55.865157
48778,Chinatown Restaurant,44 New City Road,Glasgow,G4 9JT,-4.261172,55.869008
26036,Chinwag's Cafe,981 Tollcross Road,Glasgow,G32 8UU,-4.173803,55.844098
49059,Chippy Doon The Lane,23 Royal Exchange Square,Glasgow,G1 3AJ,-4.252971,55.859875
562696,Chiquito,40 Provan Walk,Glasgow,G34 9DL,-4.136909,55.872982
19427,Chiquito,4 Springfield Quay,Glasgow,G5 8NP,-4.274804,55.855303
9514,Chocolatte,536 Great Western Road,Glasgow,G12 8EL,-4.282872,55.875977
22833,Chop House Brasserie,79 Albion Street,Glasgow,G1 1LH,-4.244412,55.857775
28554,Chopstix,184 Argyle Street,Glasgow,G2 8HA,-4.258211,55.859302
79740,Chows Restaurant Ltd,98 Byres Road,Glasgow,G12 8TB,-4.295826,55.873085
92044,Christine's Cafe,271 Cumbernauld Road,Glasgow,G31 2UG,-4.20924,55.862528
47022,Chukoku China China,298 Sauchiehall Street,Glasgow,G2 3JA,-4.263684,55.865763
77086,Church Of The Nazarene And Hart Memorial,93 Broomhill Drive,Glasgow,G11 7AP,-4.325312,55.875084
23341,Citation Taverine And Restaurant,40 Wilson Street,Glasgow,G1 1HD,-4.248389,55.858853
102352,City Chambers Council Buffet,80 George Square,Glasgow,G2 1DU,-4.241922,55.868642
448781,City Halls/The Old Fruitmarket,96 Candleriggs,Glasgow,G1 1NQ,-4.245185,55.858993
48055,City Merchant,97 Candleriggs,Glasgow,G1 1NP,-4.2458,55.858838
581131,City Of Glasgow College,300 Cathedral Street,Glasgow,G1 2TA,-4.247826,55.863213
26002,City Park Technology,55 Renfrew Street,Glasgow,G2 3BD,-4.25675,55.865243
27077,Classy Snax,42 Dalsetter Avenue,Glasgow,G15 8TE,-4.368116,55.906174
